Unnamed: 0,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
7080,7081,-0.326536,4.525419,8414.474289,376887,8414.474336,8414.474241,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7143,7144,-0.316332,3.940798,8414.474986,376637,8414.475032,8414.47494,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7163,7164,-0.326536,3.333597,8414.467851,379190,8414.467899,8414.467804,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7209,7210,-0.224494,3.119859,8414.466207,379784,8414.46624,8414.466174,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7212,7213,-0.326536,3.494201,8414.470472,378252,8414.47052,8414.470425,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7223,7224,-0.204085,3.041044,8414.466087,379828,8414.466117,8414.466057,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7225,7226,-0.306128,3.715916,8414.476172,376214,8414.476217,8414.476127,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7252,7253,-0.255106,3.867196,8414.469418,378633,8414.469455,8414.469381,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7282,7283,-0.346945,3.056785,8414.473118,377304,8414.473169,8414.473067,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7362,7363,-0.255106,4.661358,8414.462517,381104,8414.462554,8414.46248,0,6,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7374,7375,-0.204085,3.020195,8414.467107,379463,8414.467136,8414.467077,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7390,7391,-0.255106,3.162093,8414.469711,378528,8414.469749,8414.469674,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7396,7397,-0.255106,3.241798,8414.467026,379489,8414.467064,8414.466989,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7409,7410,-0.234698,3.433796,8414.469667,378546,8414.469701,8414.469633,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7434,7435,-0.255106,3.026701,8414.473073,377325,8414.47311,8414.473035,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7435,7436,-0.346945,3.610956,8414.475334,376511,8414.475384,8414.475283,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7474,7475,-0.357149,3.063644,8414.46833,379018,8414.468382,8414.468278,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7479,7480,-0.33674,3.584651,8414.463614,380706,8414.463663,8414.463565,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7496,7497,-0.306128,3.083279,8414.471744,377798,8414.471788,8414.471699,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7513,7514,-0.234698,3.460526,8414.476481,376106,8414.476516,8414.476447,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7536,7537,-0.214289,3.357026,8414.462707,381037,8414.462739,8414.462676,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7572,7573,-0.377557,3.559589,8414.475525,376441,8414.47558,8414.475469,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7615,7616,-0.265311,3.624114,8414.468369,379007,8414.468408,8414.46833,0,6,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7618,7619,-0.265311,3.404801,8414.470425,378272,8414.470464,8414.470387,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7619,7620,-0.265311,3.271367,8414.470372,378291,8414.470411,8414.470333,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7643,7644,-0.295923,3.727762,8414.470812,378132,8414.470855,8414.470769,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7686,7687,-0.255106,3.172998,8414.461936,381311,8414.461973,8414.461899,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7697,7698,-0.214289,3.367433,8414.467683,379256,8414.467715,8414.467652,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7710,7711,-0.234698,3.577583,8414.475604,376420,8414.475638,8414.47557,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7742,7743,-0.387762,3.67679,8414.463484,380750,8414.463541,8414.463427,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7785,7786,-0.33674,3.07875,8414.463838,380626,8414.463887,8414.463789,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7795,7796,-0.316332,3.108258,8414.469602,378565,8414.469648,8414.469556,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7797,7798,-0.285719,13711.767578,8414.468933,378798,8414.468975,8414.468891,0,102,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7849,7850,-0.224494,3.23192,8414.473904,377029,8414.473937,8414.473871,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7890,7891,-0.204085,3.552514,8414.466696,379610,8414.466726,8414.466666,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7910,7911,-0.367353,3.812121,8414.476253,376181,8414.476306,8414.476199,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7944,7945,-0.224494,3.60175,8414.469501,378606,8414.469534,8414.469468,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8027,8028,-0.295923,3.352668,8414.461871,381332,8414.461914,8414.461828,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8032,8033,-0.326536,3.219079,8414.463144,380875,8414.463191,8414.463096,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8590,8591,-0.214289,3.091645,8414.471059,378048,8414.47109,8414.471027,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8620,8621,-0.285719,3.721356,8414.466846,379552,8414.466888,8414.466804,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
26839,6114,-0.275515,3.18778,8414.47597,376288,8414.47601,8414.47593,0,4,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
26989,6264,-0.357149,3.716826,8414.474902,376665,8414.474954,8414.47485,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27169,6444,-0.357149,3.838058,8414.468165,379077,8414.468218,8414.468113,0,5,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27172,6447,-0.316332,3.171796,8414.467498,379317,8414.467544,8414.467452,0,2,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27252,6527,-0.295923,3.169444,8414.468096,379104,8414.468139,8414.468053,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27352,6627,-0.306128,3.112829,8414.470386,378284,8414.47043,8414.470341,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27380,6655,-0.387762,4.202672,8414.47521,376554,8414.475267,8414.475154,0,5,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27664,6939,-0.275515,3.188745,8414.470217,378346,8414.470257,8414.470177,0,2,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27852,7127,-0.306128,20413.833984,8414.468802,378862,8414.468846,8414.468757,0,134,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
46196,7108,-0.316332,21376.123047,8414.468571,378932,8414.468617,8414.468525,0,122,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46381,7293,-0.377557,3.190631,8414.474946,376649,8414.475001,8414.474891,0,3,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46552,7464,-0.346945,3.056404,8414.467608,379276,8414.467659,8414.467558,0,3,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46991,7903,-0.255106,3.155153,8414.469614,378563,8414.469651,8414.469576,0,2,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
